#IXO 3.2 m diameter 20 m focal length prescription file,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#"P Reid June 7, 2008",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#"Use Shells 73-172 (outer module); 185-302 (middle module), and 321-461 (inner module).",,,,,,,,,,,,,,,,,
#"Outer module also missing shells 85, 99, 113,...,169 (left off for weight savings)",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Prescription forms:,,,,,,,,,,,,,,,,,
#,primary - ,r^2 = (d+a+z)^2 - (a+z)^2,,,,,,,,,,,,,,,
#,secondary - ,r^2 = e^2 * (d+z)^2 - z^2,,,,,,,,,,,,,,,
## Note: For the primary, r = r(z), and z runs from 20025 to 20225.  Then
##  r_int = r(20025) 
##  r_aft = r(20225)
#,,,,,,,,,,,,,,,,,
#,"where z=axial direction, z= 0 at nominal on-axis focus, P runs from Z = 20025 mm to 20225 mm,
## and S runs from Z = 19975 mm to 19775 mm",,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
shell,r_int (mm),r_aft (mm),r_for (mm),alpha (rad),graze (rad),d (mm),e,a (mm),ca (cm^2),graze (rad),rh forward,rh aft,Weight (kg),h graze (rad)
151,1251.326057,1251.716558,1254.836193,0.015621214,0.015596908,19.548821826,1.000976963,20039.1071882314,245.658314593995,0.015596908,1250.153547,1240.769023,3.152566,0.046888225
152,1247.230781,1247.620007,1250.729457,0.015570222,0.015545995,19.421229186,1.000970590,20038.8518788244,244.054934451163,0.015545995,1246.062104,1236.708259,3.142249,0.046735169
153,1243.145873,1243.533827,1246.633117,0.015519357,0.015495210,19.294374216,1.000964253,20038.5980462819,242.460824150457,0.015495210,1241.981018,1232.657774,3.131957,0.046582497
154,1239.071305,1239.457991,1242.547147,0.015468621,0.015444552,19.168252961,1.000957953,20038.3456826758,240.875934017105,0.015444552,1237.910264,1228.617544,3.121692,0.046430207
155,1235.007051,1235.392472,1238.471519,0.015418011,0.015394021,19.042861485,1.000951690,20038.0947801085,239.300214556171,0.015394021,1233.849815,1224.587542,3.111453,0.046278299
156,1230.953086,1231.337244,1234.406208,0.015367528,0.015343617,18.918195873,1.000945462,20037.8453307391,237.733616617247,0.015343617,1229.799643,1220.567741,3.101239,0.046126771
157,1226.909381,1227.292281,1230.351187,0.015317172,0.015293339,18.794252233,1.000939271,20037.5973267701,236.17609126712,0.015293339,1225.759724,1216.558115,3.091051,0.045975624
158,1222.875912,1223.257556,1226.306429,0.015266942,0.015243187,18.671026689,1.000933116,20037.3507604312,234.627589789804,0.015243187,1221.730030,1212.558639,3.080890,0.045824855
159,1218.852652,1219.233043,1222.271909,0.015216838,0.015193160,18.548515390,1.000926996,20037.1056239948,233.08806379138,0.015193160,1217.710536,1208.569286,3.070753,0.045674464
160,1214.839574,1215.218716,1218.247599,0.015166860,0.015143260,18.426714499,1.000920911,20036.8619097783,231.557465080193,0.015143260,1213.701215,1204.590030,3.060643,0.045524450
161,1210.836654,1211.214549,1214.233474,0.015117007,0.015093484,18.305620205,1.000914862,20036.6196101416,230.035745741693,0.015093484,1209.702041,1200.620845,3.050558,0.045374813
162,1206.843863,1207.220515,1210.229508,0.015067278,0.015043833,18.185228713,1.000908848,20036.3787174769,228.522858100988,0.015043833,1205.712988,1196.661706,3.040499,0.045225550
163,1202.861178,1203.236589,1206.235675,0.015017675,0.014994306,18.065536249,1.000902869,20036.139224226,227.018754730442,0.014994306,1201.734030,1192.712587,3.030465,0.045076661
164,1198.888571,1199.262745,1202.251948,0.014968196,0.014944904,17.946539059,1.000896924,20035.9011228512,225.52338842707,0.014944904,1197.765142,1188.773462,3.020456,0.044928146
165,1194.926017,1195.298957,1198.278302,0.014918841,0.014895625,17.828233407,1.000891014,20035.6644058843,224.036712279991,0.014895625,1193.806297,1184.844306,3.010473,0.044780003
166,1190.973490,1191.345199,1194.314712,0.014869609,0.014846470,17.710615578,1.000885139,20035.429065865,222.558679610554,0.014846470,1189.857471,1180.925092,3.000515,0.044632232
167,1187.030964,1187.401446,1190.361150,0.014820501,0.014797438,17.593681876,1.000879297,20035.1950953913,221.08924392737,0.014797438,1185.918636,1177.015796,2.990582,0.044484830
168,1183.098415,1183.467672,1186.417592,0.014771516,0.014748530,17.477428623,1.000873490,20034.9624870892,219.62835905357,0.014748530,1181.989768,1173.116392,2.980675,0.044337799
169,1179.175816,1179.543851,1182.484012,0.014722654,0.014699743,17.361852163,1.000867716,20034.7312336364,218.175979014593,0.014699743,1178.070840,1169.226855,2.970792,0.044191136
